DateTime,AddedIPs,RemovedIPs
1538407837,78,83
1538421034,115,68
1538434835,119,56
1538446236,103,71
1538456429,93,112
1538467836,49,136
1538482238,56,117
1538494827,36,147
1538507425,94,97
1538517625,112,62
1538529025,54,0
1538541023,103,52
1538552427,106,39
1538563828,144,56
1538577626,87,62
1538584826,53,69
1538592626,29,62
1538607026,47,0
1538614225,52,134
1538628625,45,0
1538635824,75,191
1538643627,30,0
1538658027,62,75
1538671826,101,26
1538679026,85,91
1538693426,609,0
1538703025,1774,128
1538715625,307,105
1538725826,116,41
1538736627,66,132
1538747426,43,184
1538756427,53,103
1538766626,130,0
1538775626,47,183
1538785225,965,0
1538800226,1967,175
1538814628,300,0
1538827227,191,95
1538841627,604,67
1538857226,276,298
1538886625,116,333
1538900426,57,770
1538914828,90,169
1538931026,209,1210
1538944226,177,0
1538956825,170,904
1538968225,101,0
1538981425,325,204
1538995227,137,252
1539007226,64,455
1539019825,45,0
1539032426,46,518
1539043825,129,271
1539057023,82,454
1539069028,189,227
1539080428,103,156
1539090027,107,0
1539100226,119,111
1539110426,177,120
1539121226,349,168
1539131426,135,147
1539140425,74,235
1539150625,61,0
1539160828,39,98
1539171628,58,114
1539181827,79,138
1539190826,155,203
1539200426,172,222
1539211825,176,72
1539222625,92,51
1539234625,106,59
1539247827,159,54
1539259228,235,154
1539271227,156,89
1539283827,78,139
1539294626,44,74
1539306026,23,93
1539317424,39,177
1539329427,91,261
1539340827,104,220
1539352827,81,152
1539363626,53,101
1539374426,95,76
1539384624,156,73
1539395424,177,122
1539405624,115,210
1539415827,102,194
1539425426,39,158
1539435025,44,0
1539444625,26,125
1539453626,33,181
1539463225,117,159
1539472825,123,147
1539483624,117,145
1539494424,90,62
1539505227,67,29
1539516027,301,38
1539527427,164,46
1539536426,136,67
1539546025,289,132
1539556826,101,106
1539567626,35,136
1539579625,51,101
1539589827,23,95
1539600627,79,139
1539612026,75,191
1539622227,105,118
1539632426,100,122
1539641426,42,150
1539649825,86,0
1539660026,161,98
1539670225,174,91
1539681628,179,147
1539691826,129,183
1539703226,42,129
1539714026,38,74
1539723025,30,83
1539732024,50,137
1539741024,116,169
1539750624,120,160
1539759626,82,172
1539768627,110,124
1539778226,31,45
1539788426,103,0
1539799825,216,45
1539811825,137,30
1539820824,246,157
1539831025,90,103
1539841825,65,83
1539852626,35,94
1539863426,38,94
1539873625,45,130
1539884425,89,279
1539895225,85,199
1539905425,115,164
1539914424,35,23
1539924024,104,52
1539935426,156,57
1539945026,79,87
1539954025,157,115
1539964225,109,142
1539973825,51,105
1539982225,32,125
1539991824,28,68
1540001424,44,0
1540011623,64,331
1540020026,93,129
1540029627,96,0
1540038027,70,180
1540047025,77,97
1540056026,73,42
1540065025,135,36
1540073426,150,54
1540082425,240,58
1540090825,216,102
1540099224,153,84
1540108826,62,104
1540116626,27,75
1540123826,13,85
1540134025,28,99
1540143026,54,110
1540152025,89,93
1540161025,81,88
1540169424,76,144
1540178423,57,37
1540187423,124,26
1540196427,87,27
1540206026,153,18
1540216826,112,60
1540225825,138,100
1540234826,119,115
1540245025,57,101
1540254024,24,76
1540263625,17,61
1540273224,29,93
1540283426,42,161
1540292426,42,308
1540301425,90,0
1540309825,38,180
1540318224,70,120
1540327224,100,75
1540337424,93,32
1540345824,77,61
1540354823,89,66
1540364021,177,95
1540372227,125,82
1540381226,84,135
1540390226,34,51
1540399225,29,105
1540406425,23,78
1540415425,57,126
1540423225,65,76
1540432224,66,0
1540442424,68,108
1540450826,113,225
1540460427,92,37
1540470026,90,32
1540479626,96,40
1540487425,75,44
1540496425,151,62
1540506025,109,77
1540514425,75,67
1540523424,35,93
1540532425,26,49
1540539627,29,175
1540547427,45,125
1540554625,42,126
1540562427,34,0
1540576826,98,107
1540591225,133,266
1540605625,149,40
1540612824,89,46
1540621223,57,33
1540629026,143,73
1540643426,174,52
1540651826,60,180
1540659625,38,136
1540674025,49,0
1540688423,189,126
1540695624,29,70
1540703424,54,80
1540710627,41,134
1540719026,39,111
1540726827,56,44
1540735826,111,0
1540744825,71,21
1540754426,81,45
1540762825,131,65
1540776024,175,28
1540785023,61,57
1540794623,30,47
1540802426,30,64
1540810825,45,74
1540819225,28,125
1540827625,26,91
1540836624,59,134
1540845024,37,118
1540858823,168,125
1540866624,107,47
1540895426,332,130
1540910424,154,53
1540924225,78,130
1540937423,68,222
1540944624,61,129
1540953023,40,0
1540966822,82,291
1540974626,42,0
1540982426,79,130
1540990826,83,63
1540998625,113,0
1541006427,67,53
1541020225,155,0
1541028025,135,29
1541035224,109,45
1541049623,85,93
1541056825,49,59
1541065226,20,98
1541079025,54,95
1541092824,57,180
1541107224,82,229
1541121624,152,66
1541130023,67,43
1541143224,100,39
1541157626,201,116
1541164825,100,101
1541179224,90,0
1541193625,47,127
1541208023,44,152
1541222422,66,181
1541236225,96,167
1541244025,85,102
1541251224,55,79
1541265624,107,63
1541280024,169,58
1541294423,184,0
1541308822,88,79
1541316023,34,176
1541324425,25,0
1541338225,41,68
1541352625,58,257
1541365825,120,150
1541373624,59,0
1541380824,38,57
1541395223,124,26
1541402422,49,0
1541416825,138,32
1541425225,101,139
1541433625,69,90
1541446824,48,0
1541461224,55,76
1541473822,54,184
1541488223,107,81
1541502026,129,186
1541515225,101,97
1541522425,96,123
1541530225,1190,55
1541538624,159,0
1541547025,107,55
1541553624,120,0
1541562024,56,110
1541570424,48,108
1541578225,27,0
1541586625,24,113
1541594425,18,0
