DateTime,AddedIPs,RemovedIPs
1542199212,71,52
1542199932,57,51
1542200657,53,58
1542201616,69,43
1542202332,41,42
1542203069,38,28
1542204034,45,52
1542204998,49,42
1542205956,33,62
1542206911,56,67
1542207878,61,81
1542208831,88,49
1542209793,34,51
1542210751,57,72
1542211915,72,39
1542212896,37,55
1542213856,53,98
1542214822,73,51
1542215814,60,111
1542216510,104,35
1542217472,65,81
1542218441,74,34
1542219382,45,59
1542220340,75,79
1542221051,71,47
1542221767,42,131
1542222489,131,53
1542223232,52,52
1542224196,51,71
1542225154,60,45
1542226121,68,46
1542227071,107,68
1542228032,79,135
1542228744,35,54
1542229472,51,45
1542230186,72,54
1542230912,45,28
1542231890,41,43
1542232841,36,53
1542233788,51,47
1542234997,43,54
1542235975,35,75
1542236916,69,43
1542237638,28,59
1542238360,41,51
1542239323,80,64
1542240264,62,41
1542241215,46,66
1542242201,67,67
1542243154,59,79
1542244121,68,30
1542245071,43,46
1542246031,44,69
1542246744,51,53
1542247469,53,68
1542248248,80,65
1542249196,78,73
1542250115,55,64
1542251079,66,61
1542252033,71,49
1542252749,36,46
1542253475,48,37
1542254195,38,48
1542255160,48,39
1542256108,41,50
1542257054,43,35
1542258041,46,66
1542258986,60,47
1542260061,42,89
1542260905,68,48
1542261886,53,28
1542262585,37,89
1542263307,103,34
1542264270,55,67
1542264983,39,27
1542265759,37,48
1542266673,64,54
1542267634,67,103
1542268342,83,36
1542269077,37,63
1542269785,75,50
1542270760,35,50
1542271715,57,64
1542272677,55,96
1542273637,98,46
1542274608,53,29
1542275549,56,53
1542276266,37,50
1542277028,41,34
1542277701,50,35
1542278435,43,97
1542279417,94,51
1542280355,63,65
1542281065,43,17
1542282072,37,44
1542282728,38,55
1542283706,58,64
1542284663,58,35
1542285628,54,79
1542286346,65,62
1542287076,48,42
1542287788,56,41
1542288507,49,72
1542289227,59,31
1542289945,34,43
1542290670,33,36
1542291630,63,43
1542292350,28,48
1542293073,48,32
1542293782,39,38
1542294522,45,24
1542295470,29,34
1542296923,59,67
1542297637,50,43
1542298647,65,79
1542299833,55,101
1542300776,92,52
1542301718,79,34
1542302673,53,54
1542303401,43,25
1542304114,32,34
1542305072,25,45
1542306033,80,65
1542306753,25,40
1542307494,54,33
1542308182,46,68
1542308916,59,36
1542309868,55,60
1542310835,50,45
1542311791,43,64
1542312753,72,70
1542313465,54,33
1542314188,32,65
1542315151,73,46
1542315895,31,41
1542316829,68,67
1542317797,56,39
1542318755,57,59
1542319467,36,44
1542320437,39,83
1542321394,63,41
1542322117,41,56
1542323077,59,51
1542323783,37,42
1542324535,32,66
1542325471,75,52
1542326182,30,49
